decile,customers_in_bin,positives_in_bin,response_rate,cumulative_positives,cumulative_gain,lift,population_fraction
1,141,106,0.75177304964539,106,0.28342245989304815,2.832214510562445,0.10007097232079488
2,141,83,0.5886524822695035,189,0.5053475935828877,2.217677399780028,0.20014194464158977
3,141,56,0.3971631205673759,245,0.6550802139037433,1.4962642697311033,0.30021291696238467
4,141,51,0.3617021276595745,296,0.7914438502673797,1.362669245647969,0.40028388928317954
5,141,36,0.2553191489361702,332,0.8877005347593583,0.9618841733985662,0.5003548616039745
6,140,18,0.12857142857142856,350,0.9358288770053476,0.4843773873185637,0.5997161107168204
7,141,19,0.1347517730496454,369,0.9866310160427807,0.50766109151591,0.6997870830376153
8,141,3,0.02127659574468085,372,0.9946524064171123,0.08015701444988052,0.7998580553584103
9,141,1,0.0070921985815602835,373,0.9973262032085561,0.026719004816626844,0.8999290276792051
10,141,1,0.0070921985815602835,374,1.0,0.026719004816626844,1.0
